HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
876274,E1,P+,P+,,P+,,
877508,E3,,P+,,,,
878721,E3,,P+,,,,
881310,E5,,P+,,,,
881620,E5,,P+,,,,
881625,E2,N-,,,,,
884984,E3,,P+,,P+,,
885199,E5,,P+,,,,
886310,E1,P+,P+,,P+,,
886310,E1,P+,P+,,,,
888063,E1,P+,P+,,,,
889736,E1,P+,P+,,P+,,
894065,E1,P+,P+,,,,
897509,E3,,P+,,,,
900208,E2,N-,,,,,
900332,E6,,,N-,,,
900341,E4,N-,,,N-,,
901125,E1,P+,P+,,P+,,
901464,E3,,P+,,P+,,
901746,E4,N-,,,,,
902184,E4,,,,,N-,
902747,E5,,P+,,,,
902782,E1,,P+,,,,
902930,E4,N-,,,,,
907614,E5,,P+,,,,
907940,E3,,P+,,,,
911558,E1,P+,P+,,P+,,
911735,E1,P+,P+,,P+,,
913038,E5,,P+,P+,,,
913258,E1,P+,P+,,P+,,
914301,E1,P+,P+,,,,
915380,E1,,P+,,,,
915673,E1,,P+,,,,
916099,E1,,P+,,,,
917188,E5,,P+,,,,
918709,E6,N-,,,,,
919041,E4,N-,,,,,
919408,E1,P+,P+,,,,
922720,E4,,,,N-,,
922850,E5,,P+,,,,
923543,E4,,,,N-,,
923727,E1,P+,P+,,P+,,
925511,E1,,P+,,,,
925625,E1,P+,P+,,P+,,
929275,E6,,N-,,,,
929819,E4,N-,,N-,,,More
931903,E2,,,,,N-,
932449,E5,,P+,,,,
932697,E1,P+,P+,,,,
933081,E5,,P+,,,,
934838,E1,P+,P+,,,,
936333,E1,,P+,,,,
936652,E5,,P+,,,,
936659,E3,,P+,,,,
937398,E1,P+,,,,,
942109,E2,,,,,N-,
942452,E5,,P+,,,,
942501,E5,,P+,,,,
942610,E3,P+,P+,,,,
943019,E4,N-,,,,,
943027,E1,P+,P+,,P+,,
943325,E1,,P+,,,,
945258,E3,,P+,,,,
947237,E1,P+,P+,,P+,,
951441,E4,N-,,,,,
953783,E3,,P+,,,,
958076,E5,,P+,,,,
958146,E3,P+,P+,,,,
958825,E3,P+,P+,,P+,,
959395,E1,P+,P+,,P+,,
960065,E1,,P+,,,,
963766,E5,,P+,,,,
966455,E1,P+,P+,,,,
967439,E3,,P+,,,,
968460,E4,N-,,,,,
968513,E3,,P+,,P+,,
969184,E1,P+,P+,,,,
969255,E4,,,N-,,,No Change
969675,E3,,P+,,,,
970658,E4,N-,,,,,
972061,E2,N-,,,,N-,
973024,E1,P+,P+,,,,
973476,E6,,,N-,,,
973984,E4,N-,,,,,
974174,E1,,P+,,,,
978449,E1,P+,P+,,,,
978892,E3,,P+,,,,
979976,E1,P+,P+,,P+,,
980352,E2,N-,,,N-,,
981875,E4,N-,,,,,
983883,E3,P+,P+,,,,
984335,E1,,P+,,,,
984952,E4,,N-,,N-,,
986676,E1,P+,P+,,P+,,
988391,E1,P+,P+,,,,
989509,E3,P+,P+,,,,
990393,E3,,P+,,,,
991231,E4,N-,,,,,
991608,E1,P+,P+,,,,
993253,E1,P+,P+,,P+,,
996880,E1,P+,P+,,,,
997587,E1,P+,P+,,P+,P+,
1001191,E6,N-,,,N-,,
1001260,E4,N-,,,,,
1001420,E5,,P+,,,,
1003759,E3,P+,P+,,,,
1005188,E1,P+,P+,,,,
1007387,E5,,,,,P+,
1007479,E3,,P+,,,,
1010114,E5,,P+,,,,
1010466,E4,N-,,,,,
1010733,E3,P+,P+,,,,
